imdbID	title	year	rating	genre	value	revenue	original_language	popularity	vote_average	budget
tt2042568 	Inside Llewyn Davis 	2013	R 	"Drama, Music "	$13.24M 	32935319	en 	12.915303	7.2	11000000
tt1714915 	Only Lovers Left Alive 	2013	R 	"Comedy, Drama, Horror "	$1.88M 	0	en 	13.210031	7.2	7000000
tt1229340 	Anchorman 2: The Legend Continues 	2013	PG-13 	Comedy 	$127.35M 	173649015	en 	7.031675	6	50000000
tt1206543 	Out of the Furnace 	2013	R 	"Crime, Drama, Thriller "	$11.33M 	15400000	en 	8.582589	6.5	22000000
tt2357129 	Jobs 	2013	PG-13 	"Biography, Drama "	$16.12M 	35931410	en 	9.048842	6.1	12000000
tt1821694 	RED 2 	2013	PG-13 	"Action, Comedy, Crime "	$53.26M 	0	en 	10.942743	6.4	84000000
tt1727388 	The Way Way Back 	2013	PG-13 	"Comedy, Drama "	$21.50M 	23198652	en 	10.618584	7.1	4600000
tt2002718 	Machete Kills 	2013	R 	"Action, Crime, Sci-Fi "	$8.01M 	15008161	en 	8.657947	5.3	12000000
tt2752200 	Young & Beautiful 	2013	Not Rated 	"Drama, Romance "	$0.05M 	0	fr 	9.599286	6.3	0
tt1426329 	Lovelace 	2013	R 	"Biography, Drama "	$0.36M 	1585582	en 	5.947644	6	10000000
tt1322269 	August: Osage County 	2013	R 	Drama 	$37.74M 	74188937	en 	6.816993	6.9	25000000
tt0453562 	42	2013	PG-13 	"Biography, Drama, Sport "	$95.00M 	95020213	en 	12.224828	6.8	40000000
tt2358891 	The Great Beauty 	2013	Not Rated 	Drama 	$2.85M 	8371085	it 	8.865438	7.3	12400000
tt1549920 	The Last Stand 	2013	R 	"Action, Crime, Thriller "	$12.05M 	0	en 	11.985386	5.7	30000000
tt0816442 	The Book Thief 	2013	PG-13 	"Drama, War "	$21.49M 	76586316	en 	14.623533	7.4	0
tt2370248 	Short Term 12 	2013	R 	Drama 	$1.01M 	1600000	en 	13.932151	7.9	0
tt2132285 	The Bling Ring 	2013	R 	"Biography, Crime, Drama "	$5.84M 	19145732	en 	6.675531	5.3	15000000
tt2333804 	The Zero Theorem 	2013	R 	"Comedy, Drama, Fantasy "	$0.22M 	770706	en 	8.022116	5.9	8500000
tt2292959 	The Canyons 	2013	R 	"Drama, Thriller "	$0.05M 	56825	en 	4.802426	4.1	250000
tt1711425 	21 & Over 	2013	R 	Comedy 	$25.68M 	48065672	en 	10.790168	5.7	13000000
tt2387559 	Delivery Man 	2013	PG-13 	"Comedy, Drama "	$30.66M 	51164106	en 	11.844827	6.2	26000000
tt1821549 	Nebraska 	2013	R 	"Adventure, Comedy, Drama "	$17.65M 	17654912	en 	10.800017	7.4	12000000
tt2101341 	Dead Man Down 	2013	R 	"Action, Crime, Drama "	$10.88M 	18074539	en 	6.48781	5.9	0
tt0790628 	The Incredible Burt Wonderstone 	2013	PG-13 	"Adventure, Comedy, Fantasy "	$22.53M 	27437881	en 	9.507855	5.3	30000000
tt1967545 	Labor Day 	2013	PG-13 	"Drama, Romance "	$13.36M 	20275812	en 	6.380389	6.7	18000000
tt2281159 	Contracted 	2013	Not Rated 	"Drama, Horror, Thriller "	$0.00M 	0	en 	7.950468	5	0
tt1904996 	Parker 	2013	R 	"Action, Crime, Romance "	$17.61M 	46216641	en 	7.139681	5.7	35000000
tt2431286 	Philomena 	2013	PG-13 	"Biography, Drama "	$37.71M 	100129872	en 	6.305652	7.4	12000000
tt2479800 	Palo Alto 	2013	R 	Drama 	$0.75M 	0	en 	7.041078	6.4	0
tt0795461 	Scary Movie 5 	2013	PG-13 	"Comedy, Horror "	$32.02M 	78378744	en 	11.966348	4.6	20000000
