title	year	imdbID	rating	genre	value	revenue	original_language	popularity	vote_average	budget
Cross Creek 	1983 	tt0085380 	PG 	Biography, Drama, Romance 	$0.20M 	0 	en 	1.813985 	6.5 	0
The Lords of Discipline 	1983 	tt0085867 	R 	Thriller 	$11.79M 	11787127 	en 	1.73729 	6.5 	0
The Man Who Loved Women 	1983 	tt0085891 	R 	Comedy, Drama, Romance 	$10.96M 	11000000 	en 	6.047028 	4.4 	19000000
Independence Day 	1983 	tt0085724 	R 	Drama, Romance 	$0.15M 	0 	en 	0.945495 	6.0 	0
Deal of the Century 	1983 	tt0085412 	PG 	Comedy, Crime 	$10.37M 	0 	en 	1.433239 	4.8 	0
The Lonely Lady 	1983 	tt0085863 	R 	Drama 	$1.22M 	1 	en 	0.408273 	4.0 	0
Still Smokin 	1983 	tt0086366 	R 	Comedy, Music 	$14.75M 	15543000 	en 	4.810835 	5.4 	0
Heat and Dust 	1983 	tt0084058 	R 	Drama, Romance 	$0.80M 	0 	en 	0.949896 	5.9 	0
Beyond the Limit 	1983 	tt0085236 	R 	Drama, Romance, Thriller 	$6.00M 	0 	en 	1.78401 	5.6 	0
Strange Invaders 	1983 	tt0086374 	PG 	Horror, Mystery, Sci-Fi 	$1.36M 	1362303 	en 	4.139033 	5.2 	0
Heart Like a Wheel 	1983 	tt0085656 	PG 	Biography, Drama, Romance 	$0.27M 	0 	en 	0.838669 	6.0 	0
Daniel 	1983 	tt0085398 	R 	Drama 	$0.28M 	0 	en 	1.253061 	6.2 	0
Nate and Hayes 	1983 	tt0085994 	PG 	Action, Adventure, Comedy 	$1.96M 	1963756 	en 	1.266457 	5.4 	0
Get Crazy 	1983 	tt0085551 	R 	Comedy, Music 	$1.65M 	1645711 	en 	0.406934 	8.4 	0
Metalstorm: The Destruction of Jared-Syn 	1983 	tt0085935 	PG 	Adventure, Sci-Fi, Action 	$5.30M 	0 	en 	0.871805 	3.0 	0
Eddie Macon's Run 	1983 	tt0085473 	PG 	Action, Adventure, Crime 	$1.26M 	1262691 	en 	0.657856 	5.8 	0
Going Berserk 	1983 	tt0085603 	R 	Comedy 	$0.23M 	0 	en 	0.886666 	5.4 	0
Mickey's Christmas Carol 	1983 	tt0085936 	G 	Animation, Short, Comedy 	$21.00M 	21000000 	en 	11.692132 	7.6 	3000000
The Black Stallion Returns 	1983 	tt0085248 	PG 	Adventure, Family 	$9.80M 	9800000 	en 	1.883858 	6.1 	0
Exposed 	1983 	tt0085513 	R 	Drama, Music 	$1.82M 	0 	en 	1.244305 	4.0 	0
Lianna 	1983 	tt0085838 	R 	Drama, Romance 	$1.50M 	0 	en 	1.195621 	5.9 	300
Escape from the Bronx 	1983 	tt0089104 	R 	Action, Sci-Fi, Thriller 	$1.41M 	0 	it 	0.591061 	5.2 	0
Better Late Than Never 	1983 	tt0083647 	PG 	Comedy 	$0.05M 	0 	en 	0.569447 	5.0 	0
Lovesick 	1983 	tt0085873 	PG 	Comedy, Fantasy, Romance 	$10.17M 	0 	en 	0.037255 	6.0 	0
Stryker 	1983 	tt0086381 	R 	Action, Sci-Fi 	$1.72M 	1723487 	en 	1.13424 	4.7 	0
The Man Who Wasn't There 	1983 	tt0085892 	R 	Action, Adventure, Comedy 	$2.44M 	0 	en 	0.832587 	3.1 	0
Table for Five 	1983 	tt0086405 	PG 	Drama, Romance 	$2.44M 	2439705 	en 	0.709513 	4.8 	8000000
Running Brave 	1983 	tt0086220 	PG 	Drama, Sport 	$3.00M 	0 	en 	0.255686 	3.1 	0
Romantic Comedy 	1983 	tt0086205 	PG 	Comedy 	$6.86M 	0 	en 	0.614008 	5.0 	0
Richard Pryor... Here and Now 	1983 	tt0086194 	R 	Comedy, Documentary 	$16.16M 	0 	en 	0.784512 	7.2 	0
Hanna K. 	1983 	tt0085642 	R 	Drama 	$0.11M 	114247 	fr 	0.670769 	6.4 	0
Young Warriors 	1983 	tt0086625 	R 	Action, Crime, Drama 	$0.24M 	0 	en 	0.757622 	4.0 	0
Trenchcoat 	1983 	tt0086476 	PG 	Comedy, Mystery, Thriller 	$4.30M 	0 	en 	0.337011 	5.0 	0
Man, Woman and Child 	1983 	tt0085895 	PG 	Drama 	$2.31M 	0 	en 	0.73358 	3.7 	0
Cross Country 	1983 	tt0085379 	R 	Thriller 	$0.15M 	0 	en 	0.011025 	0.0 	0
Blue Skies Again 	1983 	tt0085254 	PG 	Comedy, Sport 	$0.08M 	84 	en 	1e-06 	5.8 	0
Getting It On 	1983 	tt0085588 	R 	Comedy 	$0.98M 	0 	en 	2.1e-05 	0.0 	0
Last Plane Out 	1983 	tt0085823 	PG 	Action, Thriller, War 	$0.16M 	0 	en 	0.134663 	4.0 	0
Forever Young 	1983 	tt0085560 	Not Rated 	Drama 	$0.00M 	0 	en 	1e-06 	0.0 	0
The Golden Seal 	1983 	tt0085608 	PG 	Drama 	$6.67M 	0 	en 	0.405496 	4.0 	0
Deadly Force 	1983 	tt0085409 	R 	Action, Crime, Drama 	$1.71M 	0 	en 	0.645158 	3.5 	0
Slayground 	1983 	tt0088135 	R 	Crime, Drama 	$0.15M 	0 	en 	0.018297 	4.7 	0
A Polish Vampire in Burbank 	1983 	tt0089823 	Not Rated 	Comedy, Horror 	$0.50M 	500000 	en 	0.524266 	6.7 	3000
Dune 	1984 	tt0087182 	PG-13 	Action, Adventure, Sci-Fi 	$30.93M 	30925690 	en 	7.569142 	6.5 	40000000
The Terminator 	1984 	tt0088247 	R 	Action, Sci-Fi 	$38.40M 	78371200 	en 	18.363148 	7.4 	6400000
A Nightmare on Elm Street 	1984 	tt0087800 	R 	Horror 	$25.50M 	25504513 	en 	11.710051 	7.2 	1800000
Ghostbusters 	1984 	tt0087332 	PG 	Action, Adventure, Comedy 	$238.63M 	295212467 	en 	14.842769 	7.3 	30000000
Children of the Corn 	1984 	tt0087050 	R 	Horror, Thriller 	$14.57M 	14000000 	en 	9.655557 	5.6 	800000
Once Upon a Time in America 	1984 	tt0087843 	R 	Crime, Drama 	$5.32M 	0 	en 	31.772033 	8.2 	30000000
Sixteen Candles 	1984 	tt0088128 	PG 	Comedy, Romance 	$23.69M 	23686027 	en 	7.136115 	6.9 	6500000
The NeverEnding Story 	1984 	tt0088323 	PG 	Adventure, Drama, Family 	$20.16M 	20158808 	en 	10.686403 	7.0 	27000000
Indiana Jones and the Temple of Doom 	1984 	tt0087469 	PG 	Action, Adventure 	$179.87M 	333000000 	en 	12.088231 	7.1 	28000000
Revenge of the Nerds 	1984 	tt0088000 	R 	Comedy 	$40.90M 	0 	en 	6.880299 	6.6 	0
The Karate Kid 	1984 	tt0087538 	PG 	Action, Drama, Family 	$90.82M 	90815558 	en 	7.680464 	6.9 	8000000
Gremlins 	1984 	tt0087363 	PG 	Comedy, Fantasy, Horror 	$148.17M 	153083102 	en 	9.39501 	6.9 	11000000
Amadeus 	1984 	tt0086879 	R 	Biography, Drama, History 	$51.97M 	51973029 	en 	7.398123 	7.8 	18000000
Bachelor Party 	1984 	tt0086927 	R 	Comedy 	$38.44M 	38435947 	en 	7.340124 	5.8 	6000000
Police Academy 	1984 	tt0087928 	R 	Comedy 	$81.20M 	146198896 	en 	9.261002 	6.5 	4500000
Footloose 	1984 	tt0087277 	PG 	Drama, Music, Romance 	$80.04M 	80035402 	en 	8.933373 	6.4 	8200000
Splash 	1984 	tt0088161 	PG 	Comedy, Fantasy, Romance 	$62.10M 	69821334 	en 	9.159622 	6.1 	8000000
Nineteen Eighty-Four 	1984 	tt0087803 	R 	Drama, Sci-Fi 	$8.40M 	0 	en 	15.483424 	6.8 	0
Beverly Hills Cop 	1984 	tt0086960 	R 	Action, Comedy, Crime 	$234.76M 	316360478 	en 	8.937775 	6.8 	15000000
Paris, Texas 	1984 	tt0087884 	R 	Drama 	$2.18M 	2181987 	en 	11.756715 	7.7 	1746964
This Is Spinal Tap 	1984 	tt0088258 	R 	Comedy, Music 	$0.19M 	4736202 	en 	8.329037 	7.6 	2500000
Top Secret! 	1984 	tt0088286 	PG 	Comedy 	$20.50M 	20458340 	en 	5.805115 	7.0 	9000000
Red Dawn 	1984 	tt0087985 	PG-13 	Action, Drama 	$38.38M 	38376497 	en 	8.993092 	6.4 	4200000
Friday the 13th: The Final Chapter 	1984 	tt0087298 	R 	Horror, Thriller 	$32.98M 	32980880 	en 	8.015587 	5.9 	2600000
The Last Starfighter 	1984 	tt0087597 	PG 	Action, Adventure, Sci-Fi 	$28.73M 	28733290 	en 	6.024313 	6.5 	15000000
Blood Simple. 	1984 	tt0086979 	R 	Crime, Drama, Thriller 	$2.15M 	0 	en 	10.725427 	7.3 	1500000
2010 	1984 	tt0086837 	PG 	Adventure, Mystery, Sci-Fi 	$40.20M 	40400657 	en 	6.498722 	6.6 	28000000
Romancing the Stone 	1984 	tt0088011 	PG 	Action, Adventure, Comedy 	$76.57M 	86572238 	en 	7.209993 	6.6 	10000000
Conan the Destroyer 	1984 	tt0087078 	PG 	Action, Adventure, Fantasy 	$31.04M 	100000000 	en 	12.893968 	5.8 	18000000
Streets of Fire 	1984 	tt0088194 	PG 	Action, Crime, Drama 	$8.09M 	8089290 	en 	6.34395 	6.6 	14500000
Supergirl 	1984 	tt0088206 	PG 	Action, Adventure, Fantasy 	$13.60M 	14296438 	en 	12.350537 	4.7 	35000000
The Killing Fields 	1984 	tt0087553 	R 	Biography, Drama, History 	$34.70M 	34700291 	en 	7.42915 	7.5 	14400000
Repo Man 	1984 	tt0087995 	R 	Comedy, Crime, Sci-Fi 	$3.57M 	2300000 	en 	5.645974 	6.7 	1500000
The Natural 	1984 	tt0087781 	PG 	Drama, Sport 	$47.95M 	47951979 	en 	10.502047 	7.0 	28000000
Body Double 	1984 	tt0086984 	R 	Mystery, Thriller 	$8.80M 	8801940 	en 	10.064376 	6.4 	10000000
The Bounty 	1984 	tt0086993 	PG 	Action, Adventure, Drama 	$8.60M 	8613462 	en 	5.764263 	6.6 	25000000
Tank 	1984 	tt0088224 	PG 	Action, Drama, Comedy 	$14.13M 	14134877 	en 	1.5192 	5.8 	0
Ghoulies 	1984 	tt0089200 	PG-13 	Comedy, Fantasy, Horror 	$35.00M 	35000000 	en 	4.092263 	4.2 	1000000
The Adventures of Buckaroo Banzai Across the 8th Dimension 	1984 	tt0086856 	PG 	Adventure, Comedy, Romance 	$6.25M 	0 	en 	6.57474 	6.2 	0
Starman 	1984 	tt0088172 	PG 	Romance, Sci-Fi 	$28.70M 	28744356 	en 	9.683003 	6.6 	22000000
Star Trek III: The Search for Spock 	1984 	tt0088170 	PG 	Action, Adventure, Sci-Fi 	$76.47M 	87000000 	en 	5.216186 	6.4 	18000000
Against All Odds 	1984 	tt0086859 	R 	Action, Adventure, Crime 	$25.10M 	0 	en 	3.623375 	5.7 	0
Electric Dreams 	1984 	tt0087197 	PG 	Comedy, Drama, Music 	$2.19M 	0 	en 	5.177484 	6.4 	0
Firestarter 	1984 	tt0087262 	R 	Action, Horror, Sci-Fi 	$15.10M 	17080167 	en 	8.109927 	5.9 	15000000
The Woman in Red 	1984 	tt0088414 	PG-13 	Comedy, Romance 	$25.30M 	0 	en 	13.353503 	5.6 	25300000
Missing in Action 	1984 	tt0087727 	R 	Action, Adventure, Drama 	$22.81M 	22812411 	en 	6.884399 	5.2 	1500000
Purple Rain 	1984 	tt0087957 	R 	Drama, Music, Musical 	$68.39M 	68392977 	en 	8.897315 	6.6 	7200000
Breakin' 	1984 	tt0086998 	PG 	Comedy, Drama, Music 	$38.68M 	0 	en 	2.935777 	5.8 	0
Night of the Comet 	1984 	tt0087799 	PG-13 	Comedy, Horror, Sci-Fi 	$14.42M 	14418922 	en 	5.542621 	6.1 	3000000
C.H.U.D. 	1984 	tt0087015 	R 	Horror, Sci-Fi 	$4.65M 	3412497 	en 	4.183694 	5.3 	1250000
A Passage to India 	1984 	tt0087892 	PG 	Adventure, Drama, History 	$27.19M 	27187653 	en 	10.180455 	6.8 	8000000
Sheena 	1984 	tt0088103 	PG 	Adventure, Fantasy 	$5.78M 	5778353 	en 	2.661514 	5.0 	25000000
The Cotton Club 	1984 	tt0087089 	R 	Crime, Drama, Music 	$25.93M 	25928721 	en 	7.058378 	6.5 	58000000
Hardbodies 	1984 	tt0087385 	R 	Comedy 	$7.12M 	0 	en 	2.324778 	5.0 	0
The Philadelphia Experiment 	1984 	tt0087910 	PG 	Adventure, Drama, Romance 	$8.10M 	0 	en 	10.830618 	6.1 	21000000
The Ice Pirates 	1984 	tt0087451 	PG 	Action, Adventure, Comedy 	$14.26M 	0 	en 	4.471846 	5.7 	9000000
Breakin' 2: Electric Boogaloo 	1984 	tt0086999 	PG 	Comedy, Drama, Musical 	$15.10M 	0 	en 	6.100942 	5.0 	0
Dreamscape 	1984 	tt0087175 	PG-13 	Action, Adventure, Horror 	$11.48M 	12145169 	en 	3.951225 	6.0 	0
Blame It on Rio 	1984 	tt0086973 	R 	Comedy, Romance 	$18.64M 	18600000 	en 	6.986864 	5.9 	0
Cloak & Dagger 	1984 	tt0087065 	PG 	Action, Adventure, Crime 	$9.72M 	0 	en 	10.506163 	6.2 	0
The Company of Wolves 	1984 	tt0087075 	R 	Horror, Fantasy 	$4.39M 	0 	en 	4.691367 	6.6 	2000000
Bolero 	1984 	tt0086987 	R 	Comedy, Drama, Romance 	$8.91M 	8914881 	en 	2.868207 	3.4 	7000000
Cannonball Run II 	1984 	tt0087032 	PG 	Action, Comedy 	$28.08M 	28078073 	en 	6.410865 	5.4 	0
Greystoke: The Legend of Tarzan, Lord of the Apes 	1984 	tt0087365 	PG 	Adventure, Drama 	$45.90M 	45858563 	en 	6.842194 	6.0 	0
Stranger Than Paradise 	1984 	tt0088184 	R 	Comedy, Drama 	$2.44M 	0 	en 	11.144702 	7.4 	0
Silent Night, Deadly Night 	1984 	tt0088117 	R 	Horror, Thriller 	$2.49M 	0 	en 	3.461272 	5.6 	1065000
Crimes of Passion 	1984 	tt0087100 	R 	Drama, Romance, Thriller 	$2.91M 	0 	en 	3.369877 	5.9 	0
Up the Creek 	1984 	tt0088333 	R 	Comedy 	$11.70M 	11708269 	en 	2.224562 	6.1 	0
Razorback 	1984 	tt0087981 	R 	Horror, Thriller 	$0.15M 	801000 	en 	2.208424 	5.6 	5500000
The Hotel New Hampshire 	1984 	tt0087428 	R 	Comedy, Drama 	$5.10M 	0 	en 	3.180646 	5.8 	7500000
All of Me 	1984 	tt0086873 	PG 	Comedy, Fantasy, Romance 	$36.40M 	0 	en 	8.818819 	6.4 	0
Rhinestone 	1984 	tt0088001 	PG 	Comedy, Music 	$21.44M 	21435321 	en 	4.605163 	4.9 	28000000
Angel 	1984 	tt0086896 	R 	Action, Crime, Thriller 	$17.49M 	0 	en 	3.550057 	5.9 	3000000
Falling in Love 	1984 	tt0087233 	PG-13 	Drama, Romance 	$10.60M 	11129057 	en 	5.177566 	6.4 	0
Ninja III: The Domination 	1984 	tt0087805 	R 	Action, Fantasy, Thriller 	$7.61M 	0 	en 	1.79846 	5.9 	0
Hot Dog... The Movie 	1984 	tt0087425 	R 	Comedy, Romance, Sport 	$20.31M 	0 	en 	2.230322 	4.4 	0
The Perils of Gwendoline in the Land of the Yik Yak 	1984 	tt0087903 	R 	Adventure, Fantasy 	$1.34M 	1337274 	en 	2.285395 	4.2 	0
Birdy 	1984 	tt0086969 	R 	Drama, War 	$1.46M 	1400000 	en 	11.116931 	6.9 	12000000
Places in the Heart 	1984 	tt0087921 	PG 	Drama 	$34.90M 	0 	en 	3.314118 	7.1 	0
The Hit 	1984 	tt0087414 	R 	Crime, Drama, Thriller 	$0.88M 	0 	en 	3.115165 	6.5 	0
A Soldier's Story 	1984 	tt0088146 	PG 	Crime, Drama, Mystery 	$21.82M 	21821347 	en 	8.826778 	6.2 	6000000
The Wild Life 	1984 	tt0088402 	R 	Comedy, Drama 	$11.02M 	9500000 	en 	4.733442 	6.4 	0
Firstborn 	1984 	tt0087263 	PG-13 	Drama, Thriller 	$6.25M 	0 	en 	1.095408 	6.3 	0
Beat Street 	1984 	tt0086946 	PG 	Drama, Music 	$16.60M 	0 	en 	3.235193 	7.0 	0
Tightrope 	1984 	tt0088272 	R 	Crime, Mystery, Thriller 	$48.14M 	48143579 	en 	10.878129 	6.1 	0
The Pope of Greenwich Village 	1984 	tt0087932 	R 	Action, Comedy, Crime 	$6.14M 	0 	en 	4.538855 	6.4 	0
Reckless 	1984 	tt0087983 	R 	Drama, Romance, Comedy 	$8.29M 	0 	en 	0.744296 	5.8 	0
Swing Shift 	1984 	tt0088213 	PG 	Drama, Romance, War 	$6.65M 	0 	en 	1.429822 	5.0 	0
Moscow on the Hudson 	1984 	tt0087747 	R 	Comedy, Drama, Romance 	$25.10M 	25100000 	en 	5.414389 	6.3 	0
Protocol 	1984 	tt0087951 	PG 	Comedy 	$26.30M 	0 	en 	1.539192 	6.0 	0
The Muppets Take Manhattan 	1984 	tt0087755 	G 	Adventure, Comedy, Drama 	$25.53M 	0 	en 	4.817011 	6.5 	8000000
Teachers 	1984 	tt0088242 	R 	Comedy, Drama 	$27.77M 	0 	en 	1.761702 	5.7 	0
The Flamingo Kid 	1984 	tt0087265 	PG-13 	Comedy, Drama, Romance 	$23.86M 	0 	en 	3.555032 	6.0 	0
The Razor's Edge 	1984 	tt0087980 	PG-13 	Drama, Romance, War 	$6.55M 	0 	en 	1.116315 	6.9 	0
Grandview, U.S.A. 	1984 	tt0087359 	R 	Drama 	$4.74M 	0 	en 	6.00813 	5.8 	0
Broadway Danny Rose 	1984 	tt0087003 	PG 	Comedy 	$10.60M 	10600497 	en 	5.541425 	7.2 	8000000
Stop Making Sense 	1984 	tt0088178 	Not Rated 	Documentary, Music 	$4.98M 	4978922 	en 	2.321606 	8.7 	1200000
Godzilla 1985 	1984 	tt0087344 	PG 	Action, Horror, Sci-Fi 	$4.12M 	4100000 	ja 	3.434493 	6.7 	2000000
Iceman 	1984 	tt0087452 	PG 	Drama, Sci-Fi 	$7.34M 	0 	en 	2.708537 	5.9 	0
Irreconcilable Differences 	1984 	tt0087482 	PG 	Comedy, Drama, Romance 	$12.41M 	12384120 	en 	1.95104 	5.0 	0
The Evil That Men Do 	1984 	tt0087222 	R 	Action, Drama, Thriller 	$13.10M 	0 	en 	0.780574 	5.5 	0
City Heat 	1984 	tt0087062 	PG 	Action, Comedy, Crime 	$38.35M 	38348988 	en 	11.230168 	5.1 	25000000
Where the Boys Are 	1984 	tt0088395 	R 	Comedy 	$10.53M 	10530000 	en 	0.217658 	4.6 	0
Oxford Blues 	1984 	tt0087866 	PG-13 	Comedy, Drama, Sport 	$8.79M 	0 	en 	1.494976 	5.0 	0
Under the Volcano 	1984 	tt0088322 	R 	Drama 	$2.56M 	0 	en 	1.842401 	6.7 	0
The River 	1984 	tt0088007 	PG-13 	Drama 	$11.49M 	11500000 	en 	1.868274 	6.5 	18000000
Joy of Sex 	1984 	tt0087513 	R 	Comedy, Romance 	$4.46M 	0 	en 	0.430567 	2.7 	0
Cheech & Chong's The Corsican Brothers 	1984 	tt0087042 	PG 	Comedy 	$3.77M 	0 	en 	3.29831 	5.0 	0
The Warrior and the Sorceress 	1984 	tt0088379 	R 	Adventure, Fantasy 	$2.89M 	0 	en 	0.99232 	3.3 	0
Best Defense 	1984 	tt0086955 	R 	Comedy, War 	$19.27M 	19265302 	en 	1.713196 	3.6 	18000000
Meatballs Part II 	1984 	tt0087700 	PG 	Comedy 	$5.41M 	0 	en 	1.361446 	3.5 	0
Racing with the Moon 	1984 	tt0087968 	PG 	Comedy, Drama, Romance 	$6.05M 	6045657 	en 	7.567216 	5.8 	9000000
Thief of Hearts 	1984 	tt0088256 	R 	Drama, Thriller, Crime 	$10.44M 	10364904 	en 	1.443324 	5.5 	9000000
Garbo Talks 	1984 	tt0087313 	PG-13 	Comedy, Drama 	$1.49M 	0 	en 	1.422852 	6.2 	0
The Brother from Another Planet 	1984 	tt0087004 	R 	Comedy, Sci-Fi 	$3.70M 	0 	en 	2.60212 	6.6 	0
No Small Affair 	1984 	tt0087810 	R 	Comedy, Drama, Music 	$4.99M 	0 	en 	6.286768 	5.6 	0
The Lonely Guy 	1984 	tt0087635 	R 	Comedy 	$5.72M 	0 	en 	3.157295 	6.4 	0
Making the Grade 	1984 	tt0087666 	R 	Comedy, Romance 	$4.56M 	0 	en 	0.020664 	5.8 	0
Lassiter 	1984 	tt0087589 	R 	Action, Crime, Drama 	$17.50M 	17500000 	en 	4.2782 	5.5 	0
Mrs. Soffel 	1984 	tt0087751 	PG-13 	Drama, Romance 	$4.39M 	4385312 	en 	1.146751 	6.3 	0
Until September 	1984 	tt0088330 	R 	Drama, Romance 	$4.24M 	4100000 	en 	0.740291 	6.3 	0
Unfaithfully Yours 	1984 	tt0088326 	PG 	Comedy, Music, Romance 	$19.93M 	0 	en 	1.044118 	5.8 	0
The Little Drummer Girl 	1984 	tt0087629 	R 	Thriller 	$7.83M 	0 	en 	1.128271 	5.3 	0
American Dreamer 	1984 	tt0086886 	PG 	Comedy, Crime, Romance 	$5.02M 	0 	en 	1.030259 	6.3 	0
Finders Keepers 	1984 	tt0087260 	R 	Comedy 	$1.47M 	0 	en 	0.883911 	6.0 	0
Purple Hearts 	1984 	tt0087956 	R 	Drama, War 	$2.08M 	0 	en 	0.313697 	4.3 	0
Country 	1984 	tt0087091 	PG 	Drama 	$9.64M 	0 	en 	0.6764 	6.3 	0
The Bostonians 	1984 	tt0086992 	Not Rated 	Drama, Romance 	$1.01M 	0 	en 	0.773612 	5.5 	0
Micki + Maude 	1984 	tt0087718 	PG-13 	Comedy, Romance 	$26.20M 	0 	en 	1.04185 	6.0 	0
Exterminator 2 	1984 	tt0087229 	R 	Action, Crime, Drama 	$3.74M 	0 	en 	0.622363 	4.1 	0
A Private Function 	1984 	tt0089838 	R 	Comedy 	$2.53M 	0 	en 	1.076091 	5.8 	0
Heavenly Bodies 	1984 	tt0087399 	R 	Drama, Romance 	$1.84M 	0 	en 	0.40552 	5.2 	0
Kaos 	1984 	tt0087537 	R 	Comedy, Drama, Romance 	$0.33M 	0 	it 	1.467694 	7.7 	0
Misunderstood 	1984 	tt0087730 	PG 	Drama 	$1.53M 	0 	en 	0.140081 	0.0 	0
Repentance 	1984 	tt0093754 	PG 	Comedy, Drama 	$0.22M 	215496 	ka 	0.718221 	6.4 	0
The River Rat 	1984 	tt0088006 	PG 	Adventure, Crime, Drama 	$1.14M 	1142944 	en 	0.831689 	6.3 	0
The Bay Boy 	1984 	tt0086942 	R 	Drama 	$0.16M 	0 	en 	0.121786 	6.1 	0
Crackers 	1984 	tt0087096 	PG 	Adventure, Comedy, Crime 	$0.13M 	0 	en 	1.480388 	5.2 	0
Give My Regards to Broad Street 	1984 	tt0087337 	PG 	Drama, Music 	$1.39M 	0 	en 	1.009707 	4.5 	0
Impulse 	1984 	tt0087464 	R 	Horror, Mystery, Sci-Fi 	$2.50M 	0 	en 	1.837436 	4.3 	0
Les nuits de la pleine lune 	1984 	tt0087821 	R 	Drama, Romance 	$0.01M 	0 	fr 	1.374191 	7.5 	0
The Buddy System 	1984 	tt0087006 	PG 	Drama, Comedy, Romance 	$1.82M 	0 	en 	0.264282 	3.3 	0
Songwriter 	1984 	tt0088153 	R 	Drama, Music 	$0.87M 	0 	en 	0.05336 	6.0 	0
Oh, God! You Devil 	1984 	tt0087835 	PG 	Comedy, Fantasy 	$21.54M 	0 	en 	0.832665 	5.5 	0
The Times of Harvey Milk 	1984 	tt0088275 	Not Rated 	Documentary, Biography, History 	$0.01M 	0 	en 	2.509559 	7.1 	0
Mike's Murder 	1984 	tt0087722 	R 	Drama, Mystery, Thriller 	$1.06M 	0 	en 	1.060689 	5.5 	0
Over the Brooklyn Bridge 	1984 	tt0087864 	R 	Comedy 	$0.84M 	0 	en 	0.37145 	3.8 	0
Just the Way You Are 	1984 	tt0087525 	PG 	Comedy, Music, Romance 	$7.89M 	0 	en 	0.152457 	5.0 	0
Heartbreakers 	1984 	tt0087397 	R 	Drama 	$0.15M 	0 	en 	0.07496 	5.0 	0
Body Rock 	1984 	tt0086985 	PG-13 	Drama, Music, Musical 	$1.69M 	0 	en 	0.297622 	2.2 	0
Choose Me 	1984 	tt0087054 	R 	Comedy, Drama, Romance 	$2.49M 	0 	en 	0.863544 	6.0 	700000
The Bear 	1984 	tt0086945 	PG 	Biography, Drama, Family 	$2.69M 	0 	en 	0.599925 	6.0 	0
Comfort and Joy 	1984 	tt0087072 	PG 	Comedy 	$1.06M 	0 	en 	3.455291 	6.5 	0
Un dimanche à la campagne 	1984 	tt0088318 	G 	Drama 	$2.41M 	0 	en 	1.327068 	6.6 	0
Terror in the Aisles 	1984 	tt0088249 	R 	Horror, Documentary, Thriller 	$10.00M 	8316206 	en 	0.756615 	6.4 	0
Weekend Pass 	1984 	tt0088385 	R 	Comedy 	$21.06M 	21058000 	en 	0.737591 	4.0 	0
Windy City 	1984 	tt0088405 	R 	Drama, Romance 	$0.34M 	0 	en 	0.000844 	5.0 	0
Champions 	1984 	tt0085320 	PG 	Biography, Drama, Romance 	$0.17M 	0 	en 	0.994851 	6.0 	0
Scandalous 	1984 	tt0088046 	PG 	Comedy, Mystery 	$0.53M 	0 	en 	1e-06 	0.0 	0
Lovelines 	1984 	tt0087648 	R 	Comedy 	$0.29M 	0 	en 	3.5e-05 	0.0 	0
Mass Appeal 	1984 	tt0087688 	PG 	Drama 	$1.95M 	0 	en 	0.421369 	7.5 	0
Lily in Love 	1984 	tt0089365 	PG-13 	Comedy 	$0.38M 	0 	en 	1.249512 	0.0 	0
Marlene 	1984 	tt0085905 	Unrated 	Documentary, Biography 	$0.85M 	0 	de 	1e-06 	7.3 	0
The Adventures of Pinocchio 	1984 	tt0086857 	Not Rated 	Animation, Family 	$14.76M 	0 	en 	0.0 	0.0 	0
Los Sures 	1984 	tt5468886 	Not Rated 	Documentary 	$0.08M 	0 	en 	0.369547 	7.3 	0
Blame It on the Night 	1984 	tt0086974 	PG-13 	Comedy, Drama, Music 	$0.20M 	0 	en 	0.006668 	7.5 	0
Tosca's Kiss 	1984 	tt0086928 	Not Rated 	Documentary, Music 	$0.01M 	0 	en 	0.001586 	7.0 	0
Petit Con 	1984 	tt0086070 	R 	Comedy 	$0.13M 	0 	fr 	9.7e-05 	0.0 	0
The Goonies 	1985 	tt0089218 	PG 	Adventure, Comedy, Family 	$61.50M 	61503218 	en 	12.112961 	7.4 	19000000
Back to the Future 	1985 	tt0088763 	PG 	Adventure, Comedy, Sci-Fi 	$210.61M 	381109762 	en 	19.833313 	8.0 	19000000
The Breakfast Club 	1985 	tt0088847 	R 	Comedy, Drama 	$45.88M 	51525171 	en 	10.405081 	7.8 	1000000
Legend 	1985 	tt0089469 	PG 	Adventure, Fantasy, Romance 	$15.50M 	15502112 	en 	9.025959 	6.2 	25000000
Commando 	1985 	tt0088944 	R 	Action, Adventure, Thriller 	$35.10M 	57500000 	en 	11.509868 	6.4 	10000000
Weird Science 	1985 	tt0090305 	PG-13 	Comedy, Romance, Sci-Fi 	$23.83M 	38934048 	en 	9.15259 	6.4 	0
Fright Night 	1985 	tt0089175 	R 	Horror, Thriller 	$24.92M 	24922237 	en 	6.326516 	6.9 	9000000
Brazil 	1985 	tt0088846 	R 	Drama, Sci-Fi 	$9.93M 	0 	en 	14.362504 	7.5 	15000000
Lifeforce 	1985 	tt0089489 	R 	Action, Horror, Mystery 	$11.60M 	0 	en 	9.062381 	6.2 	25000000
Witness 	1985 	tt0090329 	R 	Crime, Drama, Romance 	$68.71M 	68706993 	en 	9.3448 	7.0 	12000000
Clue 	1985 	tt0088930 	PG 	Comedy, Crime, Mystery 	$14.64M 	14643997 	en 	6.760144 	7.1 	15000000
